iter	Logloss
0	0.6883230209
1	0.683860302
2	0.6793802579
3	0.6748712063
4	0.6705598036
5	0.6668496132
6	0.6636271874
7	0.6598964135
8	0.6563726266
9	0.653203249
10	0.649729689
11	0.6468491952
12	0.6433952649
13	0.6403089364
14	0.6378631592
15	0.6349202394
16	0.6323729356
17	0.6296819051
18	0.6273629665
19	0.6248117288
20	0.6222635905
21	0.6199730635
22	0.6177043517
23	0.6153359016
24	0.6133351723
25	0.6114518245
26	0.6092298826
27	0.607713302
28	0.6055349509
29	0.6038496892
30	0.6020407279
31	0.6002573967
32	0.5985188484
33	0.5968345801
34	0.5951661269
35	0.5935849746
36	0.591989994
37	0.5902588367
38	0.5888071855
39	0.5874206225
40	0.5858430862
41	0.5845349232
42	0.5829536517
43	0.5816702843
44	0.580591321
45	0.5793899695
46	0.578106006
47	0.5771155357
48	0.5759551525
49	0.5747847954
50	0.573666811
51	0.5724057357
52	0.5715254148
53	0.5706117153
54	0.5697122812
55	0.5686817964
56	0.5676634709
57	0.5667653481
58	0.5659087499
59	0.5649770101
60	0.5641165574
61	0.5634616216
62	0.5625455777
63	0.5615824858
64	0.5606187185
65	0.5594916344
66	0.5586659114
67	0.5581125418
68	0.5576905807
69	0.5569099585
70	0.5563536485
71	0.5556906859
72	0.554997921
73	0.5541036129
74	0.5535457134
75	0.552635471
76	0.5518775384
77	0.5511620045
78	0.5503227711
79	0.5497770309
80	0.5491690636
81	0.5485609372
82	0.5480535825
83	0.547391216
84	0.5467568636
85	0.5462444226
86	0.5454465548
87	0.5449130138
88	0.5443644524
89	0.5439478954
90	0.5434162617
91	0.5428457657
92	0.5423279603
93	0.5418526332
94	0.5414123933
95	0.5410397053
96	0.5405464172
97	0.5400073926
98	0.5396150748
99	0.5392864148
100	0.5387341579
101	0.5382484198
102	0.5377385616
103	0.5372478167
104	0.5367472967
105	0.5361370246
106	0.5357824961
107	0.5353904565
108	0.5349950393
109	0.5344546636
110	0.5338633855
111	0.5334216356
112	0.5329295397
113	0.532465299
114	0.5318824053
115	0.5313679377
116	0.5310355028
117	0.5305681229
118	0.5299773216
119	0.5295941432
120	0.5291364193
121	0.5286825498
122	0.5282723904
123	0.5279114246
124	0.5274547736
125	0.5269495249
126	0.526480794
127	0.5262336731
128	0.5259762605
129	0.525621136
130	0.5253933271
131	0.5250369708
132	0.5246582031
133	0.5243734519
134	0.524105231
135	0.5238913298
136	0.5237639745
137	0.5233070056
138	0.5229170322
139	0.5225095749
140	0.5222342412
141	0.5219388803
142	0.5216396252
143	0.521269838
144	0.5209919214
145	0.5204692682
146	0.520178318
147	0.5197598934
148	0.5192744335
149	0.5189478795
150	0.5186911424
151	0.5181804895
152	0.5177717606
153	0.5175651312
154	0.5172461669
155	0.5169698397
156	0.5166920424
157	0.5163100561
158	0.5160675446
159	0.5156905651
160	0.5152711074
161	0.5150500933
162	0.5147696336
163	0.5144960086
164	0.5142137607
165	0.5139242013
166	0.5135724147
167	0.5132461389
168	0.5127731164
169	0.512515227
170	0.5122179985
171	0.5119160016
172	0.5116629601
173	0.5113049348
174	0.5109728972
175	0.5107149283
176	0.5104445616
177	0.510127147
178	0.5097781022
179	0.5094835758
180	0.5090723038
181	0.5089517832
182	0.5086325804
183	0.5080752373
184	0.5079251528
185	0.5074982643
186	0.5073086818
187	0.5070313613
188	0.5068249702
189	0.5066187382
190	0.5064429442
191	0.5062337716
192	0.5058249235
193	0.5055522919
194	0.5053038597
195	0.5050326188
196	0.5046226581
197	0.5043522914
198	0.5039393504
199	0.5037144423
200	0.5034533342
201	0.5030874411
202	0.5028996468
203	0.5026118755
204	0.5023239454
205	0.5019526482
206	0.5017124812
207	0.5014605125
208	0.5012340546
209	0.5008262793
210	0.5006615718
211	0.5004169146
212	0.5002586047
213	0.5000394185
214	0.4996053378
215	0.4993627469
216	0.4992294709
217	0.4990454515
218	0.4987289508
219	0.4984159072
220	0.4981719653
221	0.4979239305
222	0.4977771441
223	0.4975000223
224	0.4972992341
225	0.4970763524
226	0.4968738159
227	0.4965955416
228	0.4963240226
229	0.4960015217
230	0.4958928426
231	0.4956599474
232	0.4955654939
233	0.4953182538
234	0.4950923522
235	0.4948910077
236	0.4947524071
237	0.4944856167
238	0.4943123658
239	0.4940963189
240	0.4939924479
241	0.493704319
242	0.4934063752
243	0.4932963053
244	0.4930882851
245	0.4928520521
246	0.4926629861
247	0.4922532241
248	0.4920761983
249	0.4915275574
250	0.4912689527
251	0.4910373688
252	0.4909121195
253	0.4905278683
254	0.4903413455
255	0.4900629123
256	0.4899145365
257	0.4896344741
258	0.4894256194
259	0.4891714652
260	0.488927722
261	0.4885858695
262	0.4882455667
263	0.4880152941
264	0.4877103964
265	0.4873879353
266	0.4871280988
267	0.4867897828
268	0.4866935412
269	0.4864427249
270	0.4861487548
271	0.4860467513
272	0.4858913024
273	0.4856742223
274	0.4854793549
275	0.4853115877
276	0.4851423502
277	0.4848776261
278	0.4846281608
279	0.4844223658
280	0.4843227069
281	0.4840795596
282	0.4838585854
283	0.4836292267
284	0.4834936062
285	0.4832751354
286	0.483077844
287	0.482796073
288	0.4825029771
289	0.4823846022
290	0.4822484255
291	0.4819278717
292	0.4816563924
293	0.4814502398
294	0.481307745
295	0.4811892907
296	0.4809675614
297	0.4807967345
298	0.480573376
299	0.4803214073
300	0.4800562064
301	0.479814291
302	0.4796226422
303	0.4794238011
304	0.4793403149
305	0.479104201
306	0.4789203405
307	0.4786189397
308	0.4783571164
309	0.4780185223
310	0.4778361718
311	0.4776103894
312	0.4773687919
313	0.4771490097
314	0.4769598643
315	0.4768625498
316	0.4763626258
317	0.4761671225
318	0.4760459264
319	0.4758778413
320	0.4756369591
321	0.4753541152
322	0.4751933813
323	0.4750203689
324	0.4748349984
325	0.4745870034
326	0.4743231535
327	0.4740042289
328	0.4737953345
329	0.473486344
330	0.4733211597
331	0.4732139111
332	0.4729898771
333	0.4728741248
334	0.472713232
335	0.4724280834
336	0.4722922643
337	0.4721451203
338	0.4719004234
339	0.4717482328
340	0.4713280201
341	0.4710799853
342	0.4708991448
343	0.4706057707
344	0.4704846541
345	0.4701602459
346	0.4698725541
347	0.4696955681
348	0.4693974654
349	0.4692067305
350	0.4690449635
351	0.4687231382
352	0.4685130914
353	0.4682819843
354	0.4681415955
355	0.4680246115
356	0.4678111871
357	0.4675550063
358	0.4672582944
359	0.4669390122
360	0.4668142796
361	0.4667092164
362	0.4664377371
363	0.4661072493
364	0.4658855597
365	0.4656050205
366	0.4653654893
367	0.4650983413
368	0.4648211002
369	0.4645166397
370	0.4642879963
371	0.4641517003
372	0.463991642
373	0.4637893041
374	0.4636625449
375	0.4634717306
376	0.4631881714
377	0.4630114237
378	0.4627843698
379	0.4624750217
380	0.4623506467
381	0.4621656338
382	0.4620054166
383	0.461920023
384	0.4617208242
385	0.4615174532
386	0.4614112775
387	0.461176157
388	0.4609735807
389	0.4606738488
390	0.4603212277
391	0.4601018031
392	0.4598990281
393	0.4595199426
394	0.4593057632
395	0.4591685931
396	0.4589728117
397	0.4587795734
398	0.4585838318
399	0.4583193461
400	0.4580366611
401	0.457656304
402	0.4574745099
403	0.4572548469
404	0.456962506
405	0.4567569892
406	0.4564637343
407	0.4561374187
408	0.4559645653
409	0.455846707
410	0.4557126363
411	0.4554719925
412	0.4551249345
413	0.4548401038
414	0.4546393951
415	0.4542894363
416	0.4540632963
417	0.4538245598
418	0.4533439477
419	0.4531637828
420	0.4530361891
421	0.4528950055
422	0.4526960452
423	0.4525557359
424	0.4523036877
425	0.4521010717
426	0.4519773324
427	0.4517009258
428	0.4512898525
429	0.4511407216
430	0.4509863456
431	0.4508423011
432	0.4505308072
433	0.450300773
434	0.4500921965
435	0.449762543
436	0.4495863914
437	0.4493231773
438	0.449172775
439	0.449039499
440	0.4488040606
441	0.4486773411
442	0.4484696388
443	0.4481358528
444	0.4479757945
445	0.4477395217
446	0.4475940466
447	0.4473650058
448	0.4471138318
449	0.4468804995
450	0.4466693401
451	0.4465701977
452	0.446368138
453	0.4462424914
454	0.4460470676
455	0.4458072186
456	0.4454954465
457	0.4452551206
458	0.4451699257
459	0.4449285666
460	0.4446299076
461	0.4445497195
462	0.444340229
463	0.4441038767
464	0.44399635
465	0.4437665939
466	0.4436002175
467	0.443406105
468	0.4432581266
469	0.4429885944
470	0.4429292679
471	0.4427436193
472	0.4426453511
473	0.4423062007
474	0.4421466986
475	0.4419284662
476	0.4418408871
477	0.4416604837
478	0.441505154
479	0.4413279692
480	0.4411050479
481	0.4410479069
482	0.4408536752
483	0.4406635761
484	0.4404190381
485	0.4402055343
486	0.4399476051
487	0.4397230943
488	0.4395069281
489	0.4393164714
490	0.4390691916
491	0.4387602011
492	0.4385455847
493	0.4383855661
494	0.4382249514
495	0.4378557603
496	0.4376602968
497	0.4374564091
498	0.4373491605
499	0.4371997118
500	0.4369750818
501	0.4367771149
502	0.4365580082
503	0.4363057613
504	0.4362107515
505	0.4360376199
506	0.4358374278
507	0.4355880817
508	0.4353087743
509	0.4350094
510	0.4348700841
511	0.4347233375
512	0.4345711072
513	0.4344045321
514	0.4342533747
515	0.434084177
516	0.4338003
517	0.4335742791
518	0.4334115982
519	0.4330554008
520	0.4328782558
521	0.4327008724
522	0.4324996471
523	0.4324027697
524	0.4320745866
525	0.4317739805
526	0.4315718015
527	0.4314774672
528	0.4314184189
529	0.431199193
