iter	Passed	Remaining
327	700	1435
328	702	1433
329	704	1431
330	706	1428
331	708	1425
332	710	1423
333	712	1420
334	714	1417
335	715	1414
336	717	1411
337	719	1409
338	721	1406
339	722	1403
340	724	1400
341	726	1397
342	728	1395
343	730	1392
344	732	1390
345	734	1387
346	735	1384
347	737	1382
348	739	1379
349	741	1376
350	743	1373
351	744	1371
352	746	1369
353	748	1366
354	750	1363
355	752	1361
356	754	1358
357	756	1355
358	757	1353
359	759	1350
360	761	1347
361	763	1346
362	766	1344
363	768	1342
364	770	1340
365	772	1337
366	774	1335
367	775	1332
368	777	1329
369	779	1327
370	781	1325
371	783	1322
372	785	1319
373	786	1317
374	788	1314
375	790	1311
376	792	1309
377	793	1306
378	795	1303
379	797	1301
380	799	1298
381	801	1296
382	803	1293
383	804	1291
384	806	1288
385	808	1285
386	810	1283
387	812	1281
388	814	1278
389	815	1276
390	817	1273
391	819	1271
392	821	1268
393	823	1266
394	824	1263
395	827	1261
396	830	1261
397	832	1259
398	834	1257
399	836	1254
400	838	1252
401	840	1250
402	842	1248
403	844	1245
404	846	1243
405	848	1241
406	850	1238
407	852	1236
408	854	1234
409	856	1231
410	858	1229
411	860	1227
412	862	1225
413	863	1222
414	865	1220
415	867	1217
416	869	1215
417	870	1212
418	872	1210
419	874	1207
420	876	1206
421	878	1203
422	880	1200
423	882	1198
424	883	1195
425	885	1193
426	887	1190
427	889	1188
428	891	1186
429	893	1184
430	896	1183
431	898	1181
432	900	1178
433	902	1176
434	903	1173
435	905	1171
436	907	1169
437	909	1166
438	910	1164
439	912	1161
440	914	1159
441	916	1156
442	917	1154
443	919	1151
444	921	1149
445	923	1147
446	925	1144
447	926	1142
448	928	1139
449	930	1137
450	932	1134
451	934	1132
452	935	1129
453	937	1127
454	939	1125
455	941	1123
456	943	1120
457	944	1118
458	946	1115
459	948	1113
460	950	1111
461	952	1109
462	954	1106
463	956	1104
464	958	1103
465	960	1101
466	962	1098
467	964	1096
468	966	1094
469	968	1091
470	969	1089
471	972	1087
472	974	1085
473	976	1084
474	978	1081
475	981	1080
476	983	1077
477	984	1075
478	986	1073
479	988	1070
480	990	1069
481	993	1067
482	995	1065
483	996	1062
484	998	1060
485	1000	1057
486	1002	1055
487	1005	1054
488	1007	1052
489	1009	1050
490	1011	1048
491	1013	1046
492	1015	1043
493	1016	1041
494	1019	1039
495	1022	1038
496	1024	1036
497	1026	1034
498	1028	1032
499	1029	1029
500	1031	1027
501	1033	1025
502	1036	1023
503	1038	1022
504	1041	1020
505	1043	1018
506	1045	1016
507	1047	1014
508	1048	1011
509	1051	1010
510	1054	1008
511	1056	1006
512	1058	1004
513	1060	1002
514	1061	1000
515	1063	997
516	1065	995
517	1071	997
518	1073	994
519	1075	992
520	1077	990
521	1079	988
522	1081	986
523	1084	985
524	1087	983
525	1089	981
526	1091	979
527	1093	977
528	1094	974
529	1096	972
530	1098	970
531	1101	968
532	1103	966
533	1106	965
534	1108	963
535	1110	961
536	1112	959
537	1114	956
538	1116	955
539	1119	953
540	1121	951
541	1124	949
542	1126	947
543	1128	945
544	1131	944
545	1133	942
546	1136	940
547	1138	939
548	1141	937
549	1143	935
550	1144	933
551	1148	931
552	1151	930
553	1153	928
554	1156	927
555	1158	924
556	1159	922
557	1161	920
558	1165	919
559	1167	917
560	1170	916
561	1173	914
562	1175	912
563	1177	910
564	1180	908
565	1183	907
566	1185	905
567	1187	902
568	1188	900
569	1190	898
570	1192	896
571	1195	894
572	1196	891
573	1198	889
574	1200	887
575	1202	884
576	1203	882
577	1205	880
578	1207	878
579	1209	875
580	1211	873
581	1213	871
582	1215	869
583	1217	866
584	1219	864
585	1220	862
586	1222	860
587	1224	857
588	1226	855
589	1229	854
590	1231	852
591	1233	850
592	1235	848
593	1237	846
594	1239	843
595	1241	841
596	1243	839
597	1245	837
598	1247	835
599	1249	833
600	1251	830
601	1253	828
602	1255	826
603	1257	824
604	1259	822
605	1261	820
606	1264	818
607	1267	816
608	1268	814
609	1270	812
610	1272	810
611	1274	807
612	1277	806
613	1279	804
614	1282	802
615	1284	800
616	1287	798
617	1289	796
618	1292	795
619	1295	794
620	1298	792
621	1300	790
622	1302	788
623	1304	785
624	1306	783
625	1308	781
626	1310	779
627	1312	777
628	1315	775
629	1317	773
630	1319	771
631	1321	769
632	1323	767
633	1325	765
634	1328	763
635	1330	761
636	1332	759
637	1333	756
638	1335	754
639	1338	752
640	1340	750
641	1342	748
642	1344	746
643	1346	744
644	1348	742
645	1350	739
646	1352	737
647	1354	735
648	1356	733
649	1359	731
650	1361	729
651	1363	727
652	1365	725
653	1367	723
654	1369	721
655	1371	719
656	1373	717
657	1376	715
658	1378	713
659	1380	711
660	1382	709
661	1384	707
662	1386	704
663	1389	703
664	1392	701
665	1394	699
666	1396	697
667	1398	695
668	1400	692
669	1402	690
670	1404	688
671	1406	686
672	1409	684
673	1411	682
674	1413	680
675	1415	678
676	1417	676
677	1419	674
678	1422	672
679	1424	670
680	1427	668
681	1428	666
682	1430	664
683	1432	661
684	1434	659
685	1438	658
686	1440	656
687	1443	654
688	1445	652
689	1447	650
690	1449	648
691	1454	647
692	1456	645
693	1458	643
694	1460	640
695	1462	638
696	1465	637
697	1467	635
698	1470	633
699	1473	631
700	1475	629
701	1477	627
702	1479	625
703	1481	622
704	1488	622
705	1490	620
706	1493	618
707	1496	617
708	1499	615
709	1502	613
710	1504	611
711	1506	609
712	1509	607
713	1511	605
714	1513	603
715	1515	601
716	1517	598
717	1519	596
718	1522	595
719	1524	592
720	1526	590
721	1528	588
722	1530	586
723	1533	584
724	1536	582
725	1539	580
726	1541	578
727	1543	576
728	1544	574
729	1546	572
730	1550	570
731	1553	568
732	1555	566
733	1557	564
734	1559	562
735	1561	559
736	1562	557
737	1565	555
738	1567	553
739	1570	551
740	1572	549
741	1574	547
742	1576	545
743	1578	543
744	1581	541
745	1583	539
746	1585	537
747	1588	534
748	1589	532
749	1591	530
750	1593	528
751	1594	525
752	1597	523
753	1600	522
754	1602	519
755	1604	517
756	1606	515
757	1608	513
758	1609	511
759	1612	509
760	1614	507
761	1617	505
762	1619	502
763	1621	500
764	1622	498
765	1624	496
766	1626	494
767	1628	492
768	1631	490
769	1633	488
770	1636	486
771	1638	483
772	1640	481
773	1642	479
774	1645	477
775	1647	475
776	1649	473
777	1651	471
778	1653	469
779	1655	467
780	1657	464
781	1659	462
782	1661	460
783	1662	458
784	1664	455
785	1666	453
786	1668	451
787	1669	449
788	1671	447
789	1673	444
790	1675	442
791	1677	440
792	1678	438
793	1680	436
794	1682	433
795	1684	431
796	1685	429
797	1687	427
798	1689	424
799	1691	422
800	1693	420
801	1694	418
802	1696	416
803	1698	414
804	1700	411
805	1701	409
806	1703	407
807	1705	405
808	1707	403
809	1709	401
810	1712	399
811	1714	396
812	1716	394
813	1717	392
814	1719	390
815	1721	388
816	1723	385
817	1725	383
818	1726	381
819	1728	379
820	1730	377
821	1732	375
822	1733	372
823	1735	370
824	1737	368
825	1739	366
826	1740	364
827	1742	361
828	1744	359
829	1746	357
830	1747	355
831	1749	353
832	1751	351
833	1753	348
834	1754	346
835	1756	344
836	1758	342
837	1760	340
838	1762	338
839	1764	336
840	1765	333
841	1767	331
842	1769	329
843	1771	327
844	1773	325
845	1776	323
846	1778	321
847	1780	319
848	1782	316
849	1784	314
850	1785	312
851	1787	310
852	1789	308
853	1791	306
854	1793	304
855	1795	302
856	1797	299
857	1799	297
858	1801	295
859	1802	293
860	1804	291
861	1806	289
862	1808	287
863	1810	284
864	1812	282
865	1813	280
866	1816	278
867	1818	276
868	1819	274
869	1821	272
870	1823	270
871	1826	268
872	1827	265
873	1829	263
874	1831	261
875	1833	259
876	1835	257
877	1837	255
878	1840	253
879	1842	251
880	1844	249
881	1846	247
882	1848	244
883	1849	242
884	1851	240
885	1853	238
886	1855	236
887	1857	234
888	1859	232
889	1861	230
890	1863	227
891	1865	225
892	1867	223
893	1869	221
894	1871	219
895	1873	217
896	1875	215
897	1876	213
898	1878	211
899	1880	208
900	1882	206
901	1884	204
902	1887	202
903	1889	200
904	1891	198
905	1892	196
906	1894	194
907	1896	192
908	1898	190
909	1901	188
910	1903	185
911	1905	183
912	1907	181
913	1909	179
914	1911	177
915	1913	175
916	1915	173
917	1917	171
918	1919	169
919	1921	167
920	1923	164
921	1925	162
922	1926	160
923	1928	158
924	1930	156
925	1932	154
926	1934	152
927	1936	150
928	1937	148
929	1939	145
930	1941	143
931	1943	141
932	1945	139
933	1946	137
934	1949	135
935	1950	133
936	1953	131
937	1955	129
938	1957	127
939	1958	125
940	1960	122
941	1962	120
942	1965	118
943	1967	116
944	1969	114
945	1972	112
946	1973	110
947	1975	108
948	1977	106
949	1979	104
950	1981	102
951	1983	99
952	1984	97
953	1986	95
954	1988	93
955	1990	91
956	1991	89
957	1993	87
958	1995	85
959	1997	83
960	1999	81
961	2000	79
962	2003	76
963	2005	74
964	2007	72
965	2009	70
966	2010	68
967	2012	66
968	2014	64
969	2016	62
970	2017	60
971	2019	58
972	2021	56
973	2022	54
974	2024	51
975	2026	49
976	2028	47
977	2030	45
978	2032	43
979	2034	41
980	2035	39
981	2037	37
982	2039	35
983	2040	33
984	2042	31
985	2045	29
986	2047	26
987	2049	24
988	2052	22
989	2053	20
990	2055	18
991	2057	16
992	2059	14
993	2061	12
994	2062	10
995	2064	8
996	2066	6
997	2068	4
998	2070	2
999	2072	0
